Name,Date,Day,Friends,Group,Notes,Rating,Type,URL,Weekday
LOFT,,,,Tokyo,"Leading Japanese household goods specialty store stocking stationery, watches and accessories, health products, homewares and variety goods. 10:00 AM - 9:00 PM",,Shopping,Maps: https://maps.app.goo.gl/CSgsNNXLZ1Pocu7p6,
Kyoto Yakiniku Hiro,"November 19, 2025 7:00 PM (GMT)",Day 6,"Henry, Nanako",Kyoto,"5–11 PM. Credit cards accepted. Book via http://yoyaku.toreta.in! Kyoto Yakiniku premium A5 wagyu experience. Request private booth for intimate dinner. Pair with local Fushimi sake. Indulge in wagyu lunch set with river views before heading back to Osaka. Farewell Kyoto wagyu lunch! Book via TableCheck for tatami booth. River views plus lunch set around ¥3,500pp. Split premium platter to sample A5 cuts",4.2,"Food, Needs Booking","Website: https://www.instagram.com/yakinikuhiro/
Maps: https://maps.google.com/?cid=3280333615075260841",Wednesday
Shiba Park,,,,Tokyo,Park near Tokyo Tower. Free entry. Great for morning walks or picnics,,Attractions,Maps: 1117,
Katsudon Chiyomatsu,,,,Osaka,Katsudon specialist. 11 AM-9 PM. Cash only. Comfort food heaven,,Food,"Maps:
436",Tuesday
Tokyo Tower,,,,Tokyo,9:00 AM - 10:30 PM,,Attractions,"Website:
578

Maps:
579",
Udon Maruka,,,,Tokyo,"Saturday: 11 AM–2:30 PM. Sunday, Closed. Other days: 11 AM–4 PM, 5–7:30 PM",,Food,Maps: 1113,
Heian Shrine,,,,Kyoto,"Classic Shinto shrine and landscaped gardens created in 1895 for the city's 1,100th birthday. Free admission, 6AM-5PM",,Attractions,"Website:
434

Maps:
435",
Uniqlo Ginza,,,,Tokyo,"Biggest Uniqlo, 12 levels, connect to GU, customizable bags and shirts. 11 AM–9 PM",,Shopping,Maps: https://maps.google.com/?cid=6170678451487891570,
Osaka Castle,"November 15, 2025 9:00 AM (GMT)",Day 2,"Henry, Nanako",Osaka,"Catch morning light over Nishinomaru Garden, then head up the keep for historical exhibits. Revered castle dating to 1597 and since rebuilt, featuring gardens and museum with varied exhibits. Historic 1597 castle rebuilt post-WWII. 8 floors of exhibits covering Osaka history plus samurai artifacts. Entry ¥600. Allow 90min for full experience including museum and gardens. Keihan to Temmabashi plus 10min walk via OAP. Arrive before tour buses for peaceful Nishinomaru Garden. Skip-the-line tickets via Klook recommended",4.4,Attractions,"Website: https://www.osakacastle.net/
Maps: https://maps.google.com/?cid=1081374622389182017",Saturday
Tofu Cuisine Sorano,,,,Tokyo,All-tofu cuisine in Shibuya. 5-10:45 PM. Creative dishes. Credit cards accepted,,Food,"Maps:
https://maps.app.goo.gl/HTD6F3L7egHxHdZs6",Friday
Cup Noodles Museum,,,,Osaka,Customize your own Cup Noodles. 9:30 AM-4:30 PM. Free entry. Fun activity for all ages,,Attractions,"Website:
https://www.cupnoodles-museum.jp/en/osaka_ikeda/

Maps:
438",
Arashiyama Rilakkuma Tea House,,,,Kyoto,Rilakkuma themed tea house/cafe. 10:30 AM-5:30 PM. Credit cards accepted. ¥1650,,Food,"Maps:
https://maps.app.goo.gl/WwHyr5rySc9QFQu29",
Masahiko Ozumi Paris,"November 21, 2025 9:00 AM (GMT)",Day 8,Henry,Osaka,"Crochet donuts ¥950. 10 AM-7 PM, closed Wednesdays. Artistic pastries worth trying",,Food,"Maps:
https://maps.app.goo.gl/n3MDNG46Y5rBpkeH8",
Kyushu Ramen Kio,"November 21, 2025 12:00 PM (GMT)",Day 8,Henry,Osaka,Tonkotsu ramen in Dotonbori. 11 AM-2 AM. Late-night dining option,,Food,Maps: https://maps.app.goo.gl/otFbvA3fmo6U9b6w5,Tuesday
Kura Sushi,,,,Osaka,Conveyor belt affordable sushi. Varied hours throughout week - check daily schedule. Budget-friendly fun dining experience,,Food,Maps: https://maps.app.goo.gl/aqK3yHwazhjJJA8d7,Tuesday
Ippuku & Matcha,,,,Tokyo,Matcha specialist. 11 AM-8 PM. Traditional preparation with modern twists. Instagram-worthy,,Food,Maps: https://maps.app.goo.gl/33Lvxjy27cceAWL36,
Arashiyama Miffy Sakura Kitchen,,,,Kyoto,Miffy cafe. 10 AM-6 PM. Credit cards accepted,,Food,"Maps:
https://maps.app.goo.gl/WwHyr5rySc9QFQu29",
2D Cafe,,,,Tokyo,"2D and 3D cafe drinks with unique visual dining experience. 11 AM-10 PM. Credit cards accepted. 2-D and 3-D cafe drinks. 10 AM-7 PM, Monday closed. Cash only",,Food,"Maps:
https://maps.app.goo.gl/Tf4YsQZ7iPmGxSih7",
GU,,,,Tokyo,Uniqlo sister brand for budget fashion. 11 AM-9 PM. Connected to main Ginza Uniqlo,,Shopping,"Website:
%

Maps:
https://maps.app.goo.gl/qcq8trbzPDm9MDgv5",
Godaime Hanayama Udon,,,,Tokyo,"Handmade udon in Nihonbashi. 11 AM-3:30 PM, 5:30-9:30 PM. Credit cards accepted. Quality noodles",,Food,"Maps:
https://maps.app.goo.gl/GHQkZZ8MD8uMEF2M9?g_st=com.google.maps.preview.copy",Monday
Unagi Kushiyaki Idumo,,,,Osaka,Unadon (grilled eel rice bowl). 11 AM–10 PM,,Food,"Website:
https://tabelog.com/osaka/A2701/A270101/27101583/

Maps:
580",
Hello Donuts,,,,Tokyo,11 AM-10 PM. Credit cards accepted,,Food,"Maps:
https://maps.app.goo.gl/xWsrrZMutDihb5PHA",
Tokyo Ramen Yokocho,,,,Tokyo,Small ramen shops near Tokyo Station Ramen Alley. Multiple options. 11 AM-11 PM. Credit cards accepted,,Food,"Maps:
https://maps.app.goo.gl/wTrKvPvZK5LUCspw5",Friday
Riceball Gori-chan,,,,Osaka,"Onigiri rice balls. 11 AM-8 PM, closed on Tuesdays. ¥350, cash only. Tiny shop with big flavors",,Food,"Maps:
https://maps.app.goo.gl/TP9Zj5RoiWM7q39d8",
Takoume Honten,,,,Osaka,Oden specialist,,Food,"Maps:
https://maps.app.goo.gl/EYrbKtzwDdPfcm2w8",
(THISIS)SHIZEN,,,,Kyoto,Flower ice cream. 10 AM-7 PM. Credit cards accepted,,Food,"Maps:
https://maps.app.goo.gl/Ry1t55vCt2jSfyft6",
Shinsekai,,,,Osaka,"Trendy retro district with Tsutenkaku Tower. Street food and nostalgic Osaka vibes. Great for evening exploration. Colorful retro district from 1912 with 103m tower, restaurants and souvenir shops. Amazing Pass covers tower entry. Great street food",,Attractions,"Maps:
dataSourceUrl",
Shunsai Imari,,,,Kyoto,"Traditional breakfast sets. 7:30-9:30 AM, 5:30-10:30 PM except Tuesdays. Credit cards accepted",,Food,Maps: https://maps.app.goo.gl/Dd53nRtxzDUjhc5L8,
Tokyo Metropolitan Government Building,,,,Tokyo,9:30 AM - 10:00 PM (entry until 9:30 PM),,Attractions,Maps: https://maps.google.com/?cid=8332823349771083842,
Kansai International Airport DXB → KIX (EK316) 13:30,"November 14, 2025 1:30 PM (GMT)",Day 1,Henry,Osaka,"Touch down, breeze through Smart Immigration, and pick up ICOCA & Haruka passes for Kansai adventures. Land at Terminal 1. Use Smart Immigration if available. Pick up ICOCA & Haruka combo at JR office (¥3,570)",,Travel,"Maps:
https://maps.google.com/?cid=12104414214768042484",Friday
Hotel Agora Osaka Moriguchi,"November 14, 2025 4:00 PM (GMT)",Day 1,"Henry, Nanako",Osaka,Check into a sleek Keihan-line base so Nana can commute easily on work days while you explore nearby neighbourhood cafés. Request river view corner room. Perfect for Nanako's work commute. Luggage forwarding to Kyoto available,4,Accommodation,"Website: https://www.hotelagora-moriguchi.com/
Maps: https://maps.google.com/?cid=13148145580788093834",Friday
Dotonbori,"November 14, 2025 6:30 PM (GMT)",Day 1,"Henry, Nanako",Osaka,"Ease into the neon with golden-hour stroll beneath the Glico sign, sampling street snacks and capturing first couple snaps. First taste of Osaka neon. Keihan to Namba. Perfect golden hour for Glico sign photos. Iconic Glico Man sign in Osaka's main shopping area. Perfect for evening photos with neon lights. Free",,Attractions,Maps: https://maps.google.com/?cid=16446419638008461065,Friday
Tombori River Cruise,"November 14, 2025 7:15 PM (GMT)",Day 1,"Henry, Nanako",Osaka,"Sail past Osaka's LED canyon - perfect for first-night wow shots and rest for jet-lagged feet. Book online 2 weeks ahead (¥1,200pp). Front-row seats essential for LED canyon photos. Bring warm jacket",4.4,"Needs Booking, Travel","Website: http://www.ipponmatsu.co.jp/cruise/tombori.html
Maps: https://maps.google.com/?cid=11944000788392540382",Friday
Okonomiyaki Mizuno,"November 14, 2025 8:00 PM (GMT)",Day 1,"Henry, Nanako",Osaka,"Celebrate night one with caramelised okonomiyaki on teppan counter, pairing yuzu highballs with flagship yam batter. Join queue at 6:30 PM. Cash only ¥2,500pp. Try the yamaimo-yaki specialty with yuzu highballs",3.8,Food,"Website: https://mizuno.gorp.jp/
Maps: https://maps.google.com/?cid=14993068628475195202",Friday
Hozenji Yokocho,"November 14, 2025 9:30 PM (GMT)",Day 1,"Henry, Nanako",Osaka,"Wind down along mossy alley, wash the Fudō-myōō statue for blessings, and grab warabi-mochi to-go for train ride home. Wash the Fudō statue for travel blessings. Pick up omamori and warabi-mochi for the train home",4.3,Attractions,Maps: https://maps.google.com/?cid=1940503935653472466,Friday
Brooklyn Roasting Company,"November 17, 2025 8:00 AM (GMT)",Day 4,"Henry, Nanako",Osaka,Fuel up riverside with Kyoto-sourced beans and plan the day over almond croissants in the airy loft. Keihan express to Kitahama. Grab upstairs window seats for canal views. Plan Kobe day over coffee. Arrive before 9:30 AM to beat crowds,4.4,Food,"Website: http://brooklynroasting.jp/
Maps: https://maps.google.com/?cid=3143396422888168986",Monday
Shinsaibashi-Suji Shopping Street,"November 26, 2025 11:00 AM (GMT)",Day 13,"Henry, Nanako",Osaka,"Blend Shinsaibashi flagship finds with Amerikamura thrift gems - hunt vintage Harajuku vibes, refill skincare at @cosme, and hit Kinji for statement pieces. Hit WEGO, BAPE, and Timebomb Records. Use station lockers",4.3,Shopping,"Website: https://www.shinsaibashi.or.jp/
Maps: https://maps.google.com/?cid=7087755665176380195",Wednesday
Kuromon Market,"November 26, 2025 1:30 PM (GMT)",Day 13,"Henry, Nanako",Osaka,"Grazing lunch of toro nigiri, charcoal-grilled scallops, and strawberry daifuku while chatting with fishmongers. Cash for stalls. Aim for 6-8 bites around ¥3,000pp. Market with vendors selling street food, fresh produce and shellfish, souvenirs, cheap wagyu beef",4.1,Food,"Website: https://kuromon.com/jp/
Maps: https://maps.google.com/?cid=12402117845945925953",Wednesday
Namba Yasaka Jinja,"November 26, 2025 1:00 PM (GMT)",Day 13,"Henry, Nanako",Osaka,"Snap surreal shots in front of the iconic lion-head stage and leave ema wishes for the journey. Lion-head shrine for surreal photos. 10min walk from Kuromon. Collect goshuin stamp for travel book. Small shrine featuring a ritualistic performance stage in the shape of a lion's head. 9AM-5PM, free entrance",4.4,Attractions,"Website: https://nambayasaka.jp/
Maps: https://maps.google.com/?cid=9278387310004857503",Wednesday
Arashiyama Bamboo Forest,"November 20, 2025 5:30 AM (GMT)",Day 7,"Henry, Nanako",Kyoto,"Catch the bamboo groves before crowds arrive, capturing misty light beams and atmospheric morning sounds. Famous bamboo grove walkway. Free access. Best early morning before crowds arrive. Keihan to Demachiyanagi then Hankyu to Arashiyama. Ride first Hankyu departure 5:30 AM to arrive pre-dawn. Pack tripod",4.4,Attractions,"Website:
https://ja.kyoto.travel/tourism/single01.php?category_id=8&tourism_id=2683

Maps:
https://maps.google.com/?cid=18131488233213033693",Thursday
Tenryu-ji,"November 20, 2025 6:45 AM (GMT)",Day 7,"Henry, Nanako",Kyoto,"Explore UNESCO Zen gardens glowing with momiji, and sip matcha overlooking the koi pond. Entrance ¥500 plus ¥300 for garden access. Use north gate to exit directly into bamboo grove. Optional reserve shojin-ryori breakfast",4.4,"Attractions, Needs Booking","Website:
https://www.tenryuji.com/

Maps:
https://maps.google.com/?cid=14815785984447432896",Thursday
Arashiyama Yoshimura,"November 20, 2025 12:00 PM (GMT)",Day 7,"Henry, Nanako",Kyoto,Warm up with handmade soba and tempura while overlooking Togetsukyo Bridge from tatami seating. Soba with good view. 11 AM-5 PM. Add name to queue 10:30 AM. Request 2nd-floor window seats. Order yuba sashimi sampler to share,4.2,Food,"Website: https://yoshimura-gr.com/arashiyama/
Maps: https://maps.google.com/?cid=14941654592724285625",Thursday
Kimono Forest,"November 20, 2025 1:10 PM (GMT)",Day 7,"Henry, Nanako",Kyoto,Wander through 600 illuminated kimono poles - perfect midday photo op before heading south. Free entry beside Randen tram station. Capture boomerang videos under sky projection well. Perfect midday lighting. Pick favorite pattern for future custom yukata order,4.2,Attractions,"Website: http://www.kyotoarashiyama.jp/about
Maps: https://maps.google.com/?cid=14328627673236365801",Thursday
Gekkeikan Okura Sake Museum,,,Henry,Kyoto,"Sample aged sake in the heart of Fushimi, blending history with guided tasting notes perfect for gifting. Walk 12 minutes from Inari to Chushojima area. Last tasting entry 19:00. Reserve premium tasting course (¥1,000) for English guide availability. Ship bottle set to avoid luggage weight",4.2,Food,"Website: https://www.gekkeikan.co.jp/enjoy/museum/
Maps: https://maps.google.com/?cid=9137465178982848979",
Tōdai-ji,,,,Kyoto,Stand beneath the 15-meter bronze Buddha and enjoy morning chanting in the ancient hall. Great Buddha of Nara. Kintetsu to Nara (55min). ¥1000 combo ticket. Arrive early to avoid school groups,4.6,Attractions,"Website:
https://www.todaiji.or.jp/

Maps:
https://maps.google.com/?cid=17911005107283377295",
Nara Park,,,,Kyoto,Stroll tree-lined paths feeding polite deer and capturing playful bows. Deer crackers ¥200. Watch for map-nibbling deer - secure papers! Great for autumn leaves viewing,4.5,Attractions,"Website: https://www3.pref.nara.jp/park/
Maps: https://maps.google.com/?cid=17972930374069941334",
Nakatanidou,,,,Kyoto,Catch the famous high-speed mochi pounding show and snack on warm yomogi mochi dusted in kinako. 5-minute walk from Kintetsu Nara Station. Shows roughly every 30 minutes—arrive just before noon. Cash only (¥130 per mochi),4.3,Food,"Website: http://www.nakatanidou.jp/
Maps: https://maps.google.com/?cid=14561917136571056776",
Byōdō-in,,,,Kyoto,"Admire the iconic Phoenix Hall mirrored in the reflecting pond, stepping inside for the gold-leaf interior tour. JR Nara Line to Uji. Entry ¥700 plus ¥300 museum. Interior tour timed - collect tickets upon arrival",4.5,Attractions,"Website: https://www.byodoin.or.jp/
Maps: https://maps.google.com/?cid=6954706348575164324",
Tsuen Tea,,,,Kyoto,"Sip hand-whisked matcha and gyokuro flight at world's oldest tea shop, learning whisk techniques from tea masters. Book 2 weeks ahead for master tasting ¥2,500pp. English guides available",4.3,"Food, Needs Booking","Website:
http://www.tsuentea.com/

Maps:
https://maps.google.com/?cid=2102438674156082753",Thursday
Café & Meal MUJI,"November 16, 2025 12:15 PM (GMT)",Day 3,"Henry, Nanako",Osaka,"Healthy tray lunch of seasonal deli picks, miso soup, and yuzu soda to keep energy up mid-workday. Self-service kiosk ordering around ¥1,100. Grab take-home train snacks. Check MUJI travel section",3.9,Food,"Website: https://store.tsite.jp/hirakata/
Maps: https://maps.google.com/?cid=17127482803001824153",Sunday
Gokurakuyu Hirakata,"November 16, 2025 6:30 PM (GMT)",Day 3,"Henry, Nanako",Osaka,Reward the workday with rotenburo and carbonated baths at the local sentō/spa complex. Taxi from station ~¥700. Rotenburo outdoor baths plus carbonated spa waters. Entry ¥850 plus ¥220 towel rental,3.8,Attractions,"Website: https://www.gokurakuyu.com/hirakata/hirakata.html
Maps: https://maps.google.com/?cid=7875082954910224352",Sunday
Kushikatsu Tanaka,"November 16, 2025 8:15 PM (GMT)",Day 3,"Henry, Nanako",Osaka,"Late-night skewers, DIY sauce, and highball towers steps from Nana's station—casual, comforting, delicious. Book via Tabelog for corner booth. DIY sauce kushikatsu plus cheese fondue skewers plus highball towers",4.5,"Food, Needs Booking","Website: https://kushi-tanaka.com/restaurant/detail/hirakata-mall?utm_source=google&utm_medium=maps&utm_campaign=gmb
Maps: https://maps.google.com/?cid=12975794440701677436",Sunday
Kinkaku-ji,"November 20, 2025 7:30 AM (GMT)",Day 7,"Henry, Nanako",Kyoto,Glimpse the shimmering pavilion mirrored in Kyōko-chi pond just as the sun illuminates autumn leaves. Golden Pavilion sunrise reflection! Keihan to Demachiyanagi then bus 204. Purchase ¥500 tickets at gate. Arrive before tour buses. Historic Golden Pavilion with gold-leaf facade amid landscaped gardens and reflecting pond. ¥500 entry. 9 AM-5 PM. Best photos early morning before tour buses,4.5,Attractions,"Website: https://www.shokoku-ji.jp/kinkakuji/
Maps: https://maps.google.com/?cid=1073025677330113631",Thursday
Ryōan-ji,"November 20, 2025 8:45 AM (GMT)",Day 7,"Henry, Nanako",Kyoto,Contemplate the famed 15-stone karesansui garden in a serene morning setting. Iconic 15-stone karesansui rock garden contemplation! 15min walk from Golden Pavilion. Entry ¥500. Remove shoes when entering temple hall,4.5,Attractions,"Website:
http://www.ryoanji.jp/

Maps:
https://maps.google.com/?cid=16261116435795248450",Thursday
Camellia Tea Ceremony,"November 19, 2025 9:30 AM (GMT)",Day 6,"Henry, Nanako",Kyoto,"Hands-on tea ceremony in a hidden garden near Ninenzaka, blending cultural insight with meditative calm. Book private session at http://camellia-tea-ceremony.com (¥6,000pp). Request English host Nozomi",4.9,"Attractions, Needs Booking","Website: http://www.tea-kyoto.com/
Maps: https://maps.google.com/?cid=9161111180576021376",Wednesday
Honke Owariya,"November 19, 2025 11:00 AM (GMT)",Day 6,"Henry, Nanako",Kyoto,"Taste Kyoto's oldest soba paired with tempura and seasonal sweets in a 550-year-old merchant house. 10min walk from tea ceremony. Call ahead for upstairs tatami seating. Try Hourai soba set around ¥1,600",4.3,"Food, Needs Booking","Website: http://honke-owariya.co.jp/
Maps: https://maps.google.com/?cid=16359369336265180348",Wednesday
Kyomachiya Ryokan Sakura Urushitei,"November 19, 2025 1:00 PM (GMT)",Day 6,"Henry, Nanako",Kyoto,"Check into an artisan machiya with hinoki baths, yukata sets, and traditional breakfast service. 12min walk from Karasuma Station. Book courtyard suite plus breakfast plus kaiseki dinner upgrade. Request luggage forwarding from Osaka",4.5,"Accommodation, Needs Booking","Website: https://www.kyoto-ryokan-sakura.com/urushi/home_jp/
Maps: https://maps.google.com/?cid=3664127484669648848",Wednesday
Hanamikoji Street,"November 19, 2025 6:00 PM (GMT)",Day 6,"Henry, Nanako",Kyoto,"Evening walk through Gion's lantern-lit lanes hoping for a glimpse of maiko en route to engagements. 10min walk from ryokan. Hope for maiko glimpses en route to engagements. Stay respectful - no flash photography or path blocking. Historic Gion district with traditional buildings, kimono shops, restaurants and geisha. Respectful photography only",,Attractions,Maps: https://maps.google.com/?cid=17005749363295018432,Wednesday
Pontocho Alley,,,,Kyoto,"Lantern-lined riverside alley for intimate izakaya and nighttime photos after the Gion walk.",,Attractions,Maps: https://maps.app.goo.gl/4GvFoA1LZAAe12n29,
Kiyomizu-dera,"November 19, 2025 6:00 AM (GMT)",Day 6,"Henry, Nanako",Kyoto,Beat the crowds to watch sunlight spill over Kyoto from the wooden stage while bells echo. Gates open 6:00 AM - arrive early to beat crowds. Wooden stage views over Kyoto as morning bells echo. Carry ¥400 entry in coins. Collect omikuji fortune slips. Buddhist temple on Mount Otowa known for scenic views from wooden veranda. Drink from 3 sacred streams for love/prosperity/longevity,4.5,Attractions,"Website: https://www.kiyomizudera.or.jp/
Maps: https://maps.google.com/?cid=7111013964196361402",Wednesday
Sannenzaka & Ninenzaka,"November 19, 2025 7:15 AM (GMT)",Day 6,"Henry, Nanako",Kyoto,Browse early-opening ceramics and craft shops before day-trippers flood the slopes. Start at Kiyomizu exit. Stop at Starbucks Ninenzaka 8:00 AM for Kyoto-exclusive merch. Buy engraved chopsticks for birthday dinner table settings. Stone-paved road with traditional buildings and shops,4.4,Shopping,"Maps:
https://maps.google.com/?cid=11767990651930696711",Wednesday
Kyoto Station Sky Garden,"November 20, 2025 3:30 PM (GMT)",Day 7,"Henry, Nanako",Kyoto,Catch futuristic architecture and secret rooftop garden before boarding the train south. Take escalators to 11F for free rooftop garden access. Grab Kyoto-style ekiben for journey,,Attractions,"Website: https://www.jr-odekake.net/eki/top.php?id=0610116
Maps: https://maps.google.com/?cid=13121875705491233800",Thursday
OMO7 Osaka,"November 18, 2025 4:00 PM (GMT)",Day 5,"Henry, Nanako",Osaka,"Shift to a design-forward stay with tatami lounges, onsen-style baths, and Osaka-focused concierge tours. JR Kyoto Line to Tennoji. Request skyline view room. Add breakfast buffet and sauna package",4.2,Accommodation,"Website:
https://hoshinoresorts.com/ja/hotels/omo7osaka/?utm_source=google&utm_medium=mybusiness

Maps:
https://maps.google.com/?cid=10904178204825139386",Tuesday
Umeda Sky Building,,,,Osaka,"Toast with sky-high cocktails as Osaka transitions from gold to neon at the Floating Garden Observatory. JR Loop to Osaka Station. Entry ¥1,500 pp; bar menu extra. Pre-book sunset slot. Bring smartphone gimbal for skyline shots. Connected skyscrapers with a rooftop garden observatory, plus a restaurant and lounge with city views. 9:30AM-10:30PM. Entrance ¥1,500",,Attractions,"Website:
https://www.skybldg.co.jp/en/

Maps:
https://maps.google.com/?cid=6323866581023509245",
Hirakata Park,"November 16, 2025 4:00 PM (GMT)",Day 3,"Henry, Nanako",Osaka,"Celebrate end of workweek with gentle coasters, Ferris wheel selfies, and warm crepes in the vintage amusement park. Vintage amusement park with gentle coasters plus Ferris wheel. Discount twilight tickets from 3:00 PM",4.3,Attractions,"Website: http://www.hirakatapark.co.jp/
Maps: https://maps.google.com/?cid=6647979896880488689",Sunday
Torisei Hirakata,"November 28, 2025 5:00 PM (GMT)",Day 15,"Henry, Nanako",Osaka,Charcoal yakitori matched with Fushimi sake flights before packing for Tokyo. Book counter seats. Order seasonal hotpot special. Reserve by phone and mention celebratory trip for omakase extras,3.2,"Food, Needs Booking","Website:
https://akr2875411535.owst.jp/

Maps:
https://maps.google.com/?cid=2157355754970212496",Friday
Kuzuha Mall,"November 16, 2025 9:45 PM (GMT)",Day 3,"Henry, Nanako",Osaka,"Final stop for Heattech, birthday décor, and Shinkansen snacks. Keihan 3min to Kuzuha Mall. Heattech layers plus birthday decorations plus shinkansen snacks. Visit Loft plus Kaldi Coffee Farm. Print Tokyo itinerary at Aeon copy station",3.9,Shopping,"Website: http://kuzuha-mall.com/
Maps: https://maps.google.com/?cid=18201673667111364488",Sunday
sequence MIYASHITA PARK,"November 21, 2025 10:00 PM (GMT)",Day 8,"Henry, Nanako",Tokyo,Drop bags at the design hotel hugging Miyashita Park—perfect base between Shibuya and Harajuku. Tokyo design hotel arrival! Early baggage drop available. Request high-floor Miyashita Park view plus late checkout,3.9,"Accommodation, Needs Booking","Website:
https://www.sequencehotels.com/miyashita-park/?utm_source=googlebusinessprofile&utm_medium=google&utm_campaign=maps

Maps:
https://maps.google.com/?cid=9510849312829855018",Friday
Afuri,"November 22, 2025 2:30 PM (GMT)",Day 9,"Henry, James, Ken, Nanako, Nicole, Phil",Tokyo,Freshen up with light yuzu shio ramen and vegan seasonal bowls before diving into Takeshita chaos. Vending machine ordering. Light yuzu shio ramen plus vegan options. Grab tsukemen for Nicole who loves spicy,4.4,Food,"Website:
https://afuri.com/

Maps:
https://maps.google.com/?cid=14658399961265590294",Saturday
Takeshita Street,"November 22, 2025 4:00 PM (GMT)",Day 9,"Henry, James, Ken, Nanako, Nicole, Phil",Tokyo,"Hop between Laforet pop-ups, 6%DOKIDOKI, and vintage sneaker shops while trying crepes and purikura booths. Book 3 PM purikura slot at NOA Café. Create shared AirDrop album. Harajuku's anime epicenter with crazy street fashion and vintage finds. Anime stores throughout. Open 10 AM-8 PM daily",,"Needs Booking, Shopping","Maps:
https://maps.google.com/?cid=14032878377351675573",Saturday
Shibuya Sky,"November 22, 2025 6:00 PM (GMT)",Day 9,"Henry, James, Ken, Nicole, Phil",Tokyo,"Meet James for panoramic city views as the scramble lights up below - capture drone-like shots from helipad deck. Book 2 months ahead. Panoramic city views as scramble lights up below. Lockers for bags. Observation deck. ¥2,000 entry",4.6,"Attractions, Needs Booking","Website:
https://www.shibuya-scramble-square.com/sky/

Maps:
https://maps.google.com/?cid=8067212359343678579",Saturday
